,taxon_name_w_authors,previous_chain_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species,202412_chained_accepted_genus,202412_direct_accepted_genus
3631,Centaurea verbascifolia Vahl,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus,Centaurea verbascifolia Vahl,Centaurea verbascifolia,Centaurothamnus,Centaurea
3640,Senecio moranii T.M.Barkley,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii,Senecio moranii T.M.Barkley,Senecio moranii,Packera,Senecio
3645,Eupatorium oxylepis Sch.Bip. ex Klatt,Stomatanthes warmingii (Baker) H.Rob.,Stomatanthes warmingii (Baker) H.Rob.,Stomatanthes warmingii (Baker) H.Rob.,Stomatanthes warmingii,Eupatorium oxylepis Sch.Bip. ex Klatt,Eupatorium oxylepis,Stomatanthes,Eupatorium
3662,Aster breweri (A.Gray) Semple,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri,Aster breweri (A.Gray) Semple,Aster breweri,Eucephalus,Aster
3678,Erechtites hispidula (A.Rich.) DC.,Senecio hispidulus A.Rich.,Senecio hispidulus A.Rich.,Senecio hispidulus A.Rich.,Senecio hispidulus,Erechtites hispidula (A.Rich.) DC.,Erechtites hispidula,Senecio,Erechtites
3805,Gnaphalium pusillum Vand.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum,Gnaphalium supinum L.,Gnaphalium supinum,Argyrotegium,Gnaphalium
3862,Erigeron pyrrhopappus (Sch.Bip. ex A.Rich.) Sch.Bip. ex Schweinf.,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa,Conyza pyrrhopappa Sch.Bip. ex A.Rich.,Conyza pyrrhopappa,Microglossa,Conyza
3876,Mulgedium armeniacum Boiss.,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa,Lactuca racemosa Willd.,Lactuca racemosa,Cicerbita,Lactuca
3940,Artemisia korovinii Poljakov,Seriphidium korovinii (Poljakov) Poljakov,Seriphidium korovinii (Poljakov) Poljakov,Seriphidium korovinii (Poljakov) Poljakov,Seriphidium korovinii,Artemisia korovinii Poljakov,Artemisia korovinii,Seriphidium,Artemisia
3993,Senecio hoi Dunn,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis,Senecio hoi Dunn,Senecio hoi,Cissampelopsis,Senecio
4000,Senecio pichinchensis (Cuatrec.) Cuatrec.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata,Senecio lingulatus (Schltdl.) Cuatrec.,Senecio lingulatus,Aetheolaena,Senecio
4005,Picris humifusa Willd.,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides,Picris hieracioides L.,Picris hieracioides,Helminthotheca,Picris
4024,Senecio pyramidatus DC.,Caputia pyramidata (DC.) B.Nord. & Pelser,Caputia pyramidata (DC.) B.Nord. & Pelser,Caputia pyramidata (DC.) B.Nord. & Pelser,Caputia pyramidata,Senecio pyramidatus DC.,Senecio pyramidatus,Caputia,Senecio
4035,Conyza obscura DC.,Nidorella obscura (DC.) J.C.Manning & Goldblatt,Nidorella obscura (DC.) J.C.Manning & Goldblatt,Nidorella obscura (DC.) J.C.Manning & Goldblatt,Nidorella obscura,Conyza obscura DC.,Conyza obscura,Nidorella,Conyza
4053,Condylopodium killipii R.M.King & H.Rob.,Crossothamnus killipii (R.M.King & H.Rob.) R.M.King & H.Rob.,Crossothamnus killipii (R.M.King & H.Rob.) R.M.King & H.Rob.,Crossothamnus killipii (R.M.King & H.Rob.) R.M.King & H.Rob.,Crossothamnus killipii,Condylopodium killipii R.M.King & H.Rob.,Condylopodium killipii,Crossothamnus,Condylopodium
4061,Culcitium hypoleucum Turcz.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata (Schltdl.) B.Nord.,Aetheolaena lingulata,Senecio lingulatus (Schltdl.) Cuatrec.,Senecio lingulatus,Aetheolaena,Senecio
4119,Tripteris monocephala Oliv. & Hiern,Osteospermum monocephalum (Oliver & Hiern) Norl.,Osteospermum monocephalum (Oliver & Hiern) Norl.,Osteospermum monocephalum (Oliver & Hiern) Norl.,Osteospermum monocephalum,Tripteris monocephala Oliv. & Hiern,Tripteris monocephala,Osteospermum,Tripteris
4125,Artemisia kochiiformis Krasch. & Lincz. ex Poljakov,Seriphidium kopetdaghense (Kraschen. ex Poljakov) Poljakov,Seriphidium kopetdaghense (Kraschen. ex Poljakov) Poljakov,Seriphidium kopetdaghense (Kraschen. ex Poljakov) Poljakov,Seriphidium kopetdaghense,Artemisia kochiiformis Krasch. & Lincz. ex Poljakov,Artemisia kochiiformis,Seriphidium,Artemisia
4133,Othonna sparsiflora (S.Moore) B.Nord.,Crassothonna sparsiflora (S.Moore) B.Nord.,Crassothonna sparsiflora (S.Moore) B.Nord.,Crassothonna sparsiflora (S.Moore) B.Nord.,Crassothonna sparsiflora,Othonna sparsiflora (S.Moore) B.Nord.,Othonna sparsiflora,Crassothonna,Othonna
4137,Gochnatia discoidea (Less.) Cabrera,Bahianthus viscosus (Spreng.) R.M.King & H.Rob.,Bahianthus viscosus (Spreng.) R.M.King & H.Rob.,Bahianthus viscosus (Spreng.) R.M.King & H.Rob.,Bahianthus viscosus,Richterago discoidea (Less.) Kuntze,Richterago discoidea,Bahianthus,Richterago
4138,Conyza scabrida DC.,Nidorella ivifolia (L.) J.C.Manning & Goldblatt,Nidorella ivifolia (L.) J.C.Manning & Goldblatt,Nidorella ivifolia (L.) J.C.Manning & Goldblatt,Nidorella ivifolia,Conyza scabrida DC.,Conyza scabrida,Nidorella,Conyza
4155,Parasenecio tebakoensis (Makino) H.Koyama,Japonicalia tebakoensis (Makino) C.Ren & Q.E.Yang,Japonicalia tebakoensis (Makino) C.Ren & Q.E.Yang,Japonicalia tebakoensis (Makino) C.Ren & Q.E.Yang,Japonicalia tebakoensis,Parasenecio tebakoensis (Makino) H.Koyama,Parasenecio tebakoensis,Japonicalia,Parasenecio
4174,Othonna pinnatifida Thunb.,Othonna othonnites Druce,Othonna othonnites Druce,Othonna othonnites Druce,Othonna othonnites,Cineraria othonnoides Harv.,Cineraria othonnoides,Othonna,Cineraria
4175,Saussurea forrestii Diels,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata,Saussurea fastuosa (Decne.) Sch.Bip.,Saussurea fastuosa,Shangwua,Saussurea
4189,Rhaponticoides carrissoi (Rothm.) M.V.Agab. & Greuter,Rhaponticoides fraylensis (Nyman) M.V.Agab. & Greuter,Rhaponticoides fraylensis (Nyman) M.V.Agab. & Greuter,Rhaponticoides fraylensis (Nyman) M.V.Agab. & Greuter,Rhaponticoides fraylensis,Centaurea carrissoi Rothm.,Centaurea carrissoi,Rhaponticoides,Centaurea
4318,Leontodon nudicaulis subsp. taraxacoides (Vill.) Schinz & Thell.,Taraxacum taraxacoides Willk.,Taraxacum taraxacoides Willk.,Taraxacum taraxacoides Willk.,Taraxacum taraxacoides,Leontodon saxatilis Lam.,Leontodon saxatilis,Taraxacum,Leontodon
4370,Eschenbachia globosa Moench,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca,Erigeron aegyptiacus L.,Erigeron aegyptiacus,Nidorella,Erigeron
4402,Aster iinumae Kitam.,Machaeranthera tanacetifolia (Kunth) Nees,Machaeranthera tanacetifolia (Kunth) Nees,Machaeranthera tanacetifolia (Kunth) Nees,Machaeranthera tanacetifolia,Aster iinumae Kitam. ex Hara,Aster iinumae,Machaeranthera,Aster
4410,Pentacalia harrietae (Cuatrec.) Cuatrec.,Monticalia harrietae (Cuatrec.) B.Nord.,Monticalia harrietae (Cuatrec.) B.Nord.,Monticalia harrietae (Cuatrec.) B.Nord.,Monticalia harrietae,Pentacalia harrietae (Cuatrec.) Cuatrec.,Pentacalia harrietae,Monticalia,Pentacalia
4424,Hieracium scabricaule Bisch.,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae,Hieracium scabricaule Bisch.,Hieracium scabricaule,Pilosella,Hieracium
4440,Cancrinia tadshikorum (Kudr.) Tzvelev,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum,Polychrysum tadshikorum (Kudr.) Kovalevsk.,Polychrysum tadshikorum,Lepidolopsis,Polychrysum
4458,Eupatorium ferrugineum var. paraguariense Hassl.,Chromolaena ferruginea (Gardner) R.M.King & H.Rob.,Chromolaena ferruginea (Gardner) R.M.King & H.Rob.,Chromolaena ferruginea (Gardner) R.M.King & H.Rob.,Chromolaena ferruginea,Eupatorium charpinii Cabrera,Eupatorium charpinii,Chromolaena,Eupatorium
4496,Mairia corymbosa Harv.,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa,Gymnostephium papposum G.L.Nesom,Gymnostephium papposum,Zyrphelis,Gymnostephium
4515,Gnaphalium pannosum A.Gray,Pseudognaphalium nubicola (I.M.Johnst.) Anderb.,Pseudognaphalium nubicola (I.M.Johnst.) Anderb.,Pseudognaphalium nubicola (I.M.Johnst.) Anderb.,Pseudognaphalium nubicola,Gnaphalium panniforme S.F.Blake,Gnaphalium panniforme,Pseudognaphalium,Gnaphalium
4526,Gnaphalium acilepis DC.,Ifloga repens (L.) Hilliard & B.L.Burtt,Ifloga repens (L.) Hilliard & B.L.Burtt,Ifloga repens (L.) Hilliard & B.L.Burtt,Ifloga repens,Gnaphalium vestitum Thunb.,Gnaphalium vestitum,Ifloga,Gnaphalium
4545,Senecio aberrans Greenm.,Pentacalia reflexa (Kunth) Cuatrec.,Pentacalia reflexa (Kunth) Cuatrec.,Pentacalia reflexa (Kunth) Cuatrec.,Pentacalia reflexa,Senecio aberrans Greenm.,Senecio aberrans,Pentacalia,Senecio
4589,Lasiopogon micropoides DC.,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides,Lasiopogon micropoides DC.,Lasiopogon micropoides,Ifloga,Lasiopogon
4616,Senecio spelaeicola (Vaniot) Gagnep.,Cissampelopsis spelaeicola (Van.) C.Jeffrey & Y.L.Chen,Cissampelopsis spelaeicola (Van.) C.Jeffrey & Y.L.Chen,Cissampelopsis spelaeicola (Van.) C.Jeffrey & Y.L.Chen,Cissampelopsis spelaeicola,Senecio spelaeicola (Vaniot) Gagnep.,Senecio spelaeicola,Cissampelopsis,Senecio
4630,Palafoxia tripteris (DC.) Shinners,Florestina tripteris DC.,Florestina tripteris DC.,Florestina tripteris DC.,Florestina tripteris,Palafoxia tripteris (DC.) Shinners,Palafoxia tripteris,Florestina,Palafoxia
4638,Eupatorium crenulatum B.A.Gomes,Trichogonia hirtiflora Sch.Bip. ex Baker,Trichogonia hirtiflora Sch.Bip. ex Baker,Trichogonia hirtiflora Sch.Bip. ex Baker,Trichogonia hirtiflora,Eupatorium crenulatum B.A.Gomes,Eupatorium crenulatum,Trichogonia,Eupatorium
4673,Calea elegans DC.,Oteiza acuminata La Llave,Oteiza acuminata La Llave,Oteiza acuminata La Llave,Oteiza acuminata,Perymenium acuminatum (La Llave) S.F.Blake,Perymenium acuminatum,Oteiza,Perymenium
4729,Senecio pseudoarnica Less.,Jacobaea pseudoarnica (Less.) Zuev,Jacobaea pseudoarnica (Less.) Zuev,Jacobaea pseudoarnica (Less.) Zuev,Jacobaea pseudoarnica,Senecio pseudoarnica Less.,Senecio pseudoarnica,Jacobaea,Senecio
4767,Blainvillea biaristata DC.,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis,Blainvillea biaristata DC.,Blainvillea biaristata,Calyptocarpus,Blainvillea
4801,Trichocline peruviana Hieron.,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides,Trichocline hieracioides (Kunth) Ferreyra,Trichocline hieracioides,Chaptalia,Trichocline
4820,Senecio kingianus W.W.Sm.,Ligularia kingiana (W.W.Sm.) R.Mathur,Ligularia kingiana (W.W.Sm.) R.Mathur,Ligularia kingiana (W.W.Sm.) R.Mathur,Ligularia kingiana,Senecio kingianus W.W.Sm.,Senecio kingianus,Ligularia,Senecio
4849,Nidorella compressa Cass. ex Steud.,Psiadia arguta Voigt,Psiadia arguta Voigt,Psiadia arguta Voigt,Psiadia arguta,Nidorella compressa Cass. ex Steud.,Nidorella compressa,Psiadia,Nidorella
4913,Vernonia philippinensis Rolfe,Decaneuropsis philippinensis (Rolfe) H.Rob. & Skvarla,Decaneuropsis philippinensis (Rolfe) H.Rob. & Skvarla,Decaneuropsis philippinensis (Rolfe) H.Rob. & Skvarla,Decaneuropsis philippinensis,Vernonia philippinensis Rolfe,Vernonia philippinensis,Decaneuropsis,Vernonia
4946,Vernonia merana Baker,Brachylaena merana (Baker) O.Hoffm.,Brachylaena merana (Baker) O.Hoffm.,Brachylaena merana (Baker) O.Hoffm.,Brachylaena merana,Vernonia merana Baker,Vernonia merana,Brachylaena,Vernonia
5019,Chionolaena eleagnoides Klatt,Gnaphaliothamnus elaegnoides (Klatt) G.L.Nesom,Gnaphaliothamnus elaegnoides (Klatt) G.L.Nesom,Gnaphaliothamnus elaegnoides (Klatt) G.L.Nesom,Gnaphaliothamnus elaegnoides,Chionolaena eleagnoides Klatt,Chionolaena eleagnoides,Gnaphaliothamnus,Chionolaena
5033,Aster vellereus Franch.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa,Inula nervosa Wall. ex DC.,Inula nervosa,Duhaldea,Inula
5044,Machaeranthera turneri M.L.Arnold & R.C.Jacks.,Leucosyris turneri (M.L.Arnold & R.C.Jacks.) Pruski & R.L.Hartm.,Leucosyris turneri (M.L.Arnold & R.C.Jacks.) Pruski & R.L.Hartm.,Leucosyris turneri (M.L.Arnold & R.C.Jacks.) Pruski & R.L.Hartm.,Leucosyris turneri,Machaeranthera turneri M.L.Arnold & R.C.Jacks.,Machaeranthera turneri,Leucosyris,Machaeranthera
5045,Erigeron serratus Forssk.,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca,Erigeron aegyptiacus L.,Erigeron aegyptiacus,Nidorella,Erigeron
5057,Vernonia amaranthina Gleason,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa,Vernonia
5083,Senecio guadalajarensis B.L.Rob.,Roldana guadalajarensis (B.L.Rob.) H.Rob. & Brettell,Roldana guadalajarensis (B.L.Rob.) H.Rob. & Brettell,Roldana guadalajarensis (B.L.Rob.) H.Rob. & Brettell,Roldana guadalajarensis,Senecio guadalajarensis B.L.Rob.,Senecio guadalajarensis,Roldana,Senecio
5100,Eupatorium bruneri A.Gray,Eutrochium maculatum (L.) E.E.Lamont,Eutrochium maculatum (L.) E.E.Lamont,Eutrochium maculatum (L.) E.E.Lamont,Eutrochium maculatum,Eupatorium maculatum L.,Eupatorium maculatum,Eutrochium,Eupatorium
5130,Lipochaeta lavarum (Gaudich.) DC.,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum,Lipochaeta lavarum (Gaudich.) DC.,Lipochaeta lavarum,Wollastonia,Lipochaeta
5147,Calendula hispida Thunb.,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus,Aster bakerianus Burtt Davy ex C.A.Sm.,Aster bakerianus,Afroaster,Aster
5168,Coreopsis mauiensis A.Gray,Bidens mauiensis Sherff,Bidens mauiensis Sherff,Bidens mauiensis Sherff,Bidens mauiensis,Coreopsis mauiensis A.Gray,Coreopsis mauiensis,Bidens,Coreopsis
5214,Senecio oldhamianus Maxim.,Sinosenecio oldhamianus (Maxim.) B.Nord.,Sinosenecio oldhamianus (Maxim.) B.Nord.,Sinosenecio oldhamianus (Maxim.) B.Nord.,Sinosenecio oldhamianus,Senecio oldhamianus Maxim.,Senecio oldhamianus,Sinosenecio,Senecio
5243,Gnaphalium antennarioides DC.,Pseudognaphalium antennarioides (DC.) Anderb.,Pseudognaphalium antennarioides (DC.) Anderb.,Pseudognaphalium antennarioides (DC.) Anderb.,Pseudognaphalium antennarioides,Gnaphalium antennarioides DC.,Gnaphalium antennarioides,Pseudognaphalium,Gnaphalium
5305,Aster zuluensis W.Lippert,Afroaster zuluensis (W.Lippert) J.C.Manning & Goldblatt,Afroaster zuluensis (W.Lippert) J.C.Manning & Goldblatt,Afroaster zuluensis (W.Lippert) J.C.Manning & Goldblatt,Afroaster zuluensis,Aster zuluensis W.Lippert,Aster zuluensis,Afroaster,Aster
5421,Roldana cronquistii H.Rob. & Brettell,Roldana jurgensenii (Hemsl.) H.Rob. & Brettell,Roldana jurgensenii (Hemsl.) H.Rob. & Brettell,Roldana jurgensenii (Hemsl.) H.Rob. & Brettell,Roldana jurgensenii,Senecio cronquistii (H.Rob. & Brettell) B.L.Turner & T.M.Barkley,Senecio cronquistii,Roldana,Senecio
5460,Aster corymbosus (Harv.) Fourc.,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa Kuntze,Zyrphelis corymbosa,Gymnostephium papposum G.L.Nesom,Gymnostephium papposum,Zyrphelis,Gymnostephium
5531,Senecio schizotrichus Greenm.,Dresslerothamnus schizotrichus (Greenm.) C.Jeffrey,Dresslerothamnus schizotrichus (Greenm.) C.Jeffrey,Dresslerothamnus schizotrichus (Greenm.) C.Jeffrey,Dresslerothamnus schizotrichus,Senecio schizotrichus Greenm.,Senecio schizotrichus,Dresslerothamnus,Senecio
5561,Eupatorium nummularia Hook. & Arn.,Grazielia nummularia (Hook. & Arn.) R.M.King & H.Rob.,Grazielia nummularia (Hook. & Arn.) R.M.King & H.Rob.,Grazielia nummularia (Hook. & Arn.) R.M.King & H.Rob.,Grazielia nummularia,Eupatorium nummularia Hook. & Arn.,Eupatorium nummularia,Grazielia,Eupatorium
5609,Cassinia vauvilliersii Hook.f.,Ozothamnus leptophyllus (G.Forst.) Breitw. & J.M.Ward,Ozothamnus leptophyllus (G.Forst.) Breitw. & J.M.Ward,Ozothamnus leptophyllus (G.Forst.) Breitw. & J.M.Ward,Ozothamnus leptophyllus,Cassinia vauvilliersii Hook.f.,Cassinia vauvilliersii,Ozothamnus,Cassinia
5610,Grosvenoria jelskii (Hieron.) R.M.King & H.Rob.,Critoniopsis jelskii (Hieron.) H.Rob.,Critoniopsis jelskii (Hieron.) H.Rob.,Critoniopsis jelskii (Hieron.) H.Rob.,Critoniopsis jelskii,Grosvenoria jelskii (Hieron.) R.M.King & H.Rob.,Grosvenoria jelskii,Critoniopsis,Grosvenoria
5625,Artemisia pattersonii A.Gray,Delwiensia pattersonii (A.Gray) W.A.Weber & R.C.Wittmann,Delwiensia pattersonii (A.Gray) W.A.Weber & R.C.Wittmann,Delwiensia pattersonii (A.Gray) W.A.Weber & R.C.Wittmann,Delwiensia pattersonii,Artemisia pattersonii A.Gray,Artemisia pattersonii,Delwiensia,Artemisia
5634,Vernonia platyseta S.Ortiz,Vernonella platyseta (S.Ortiz) H.Rob. & Skvarla,Vernonella platyseta (S.Ortiz) H.Rob. & Skvarla,Vernonella platyseta (S.Ortiz) H.Rob. & Skvarla,Vernonella platyseta,Vernonia platyseta S.Ortiz,Vernonia platyseta,Vernonella,Vernonia
5636,Psychrogeton primuloides (Popov) Grierson,Psychrogeton poncinsii (Franch.) Y.Ling & Y.L.Chen,Psychrogeton poncinsii (Franch.) Y.Ling & Y.L.Chen,Psychrogeton poncinsii (Franch.) Y.Ling & Y.L.Chen,Psychrogeton poncinsii,Erigeron poncinsii (Franch.) Botsch.,Erigeron poncinsii,Psychrogeton,Erigeron
5641,Gerbera curvisquama Hand.-Mazz.,Leibnitzia nepalensis (Kunze) Kitam.,Leibnitzia nepalensis (Kunze) Kitam.,Leibnitzia nepalensis (Kunze) Kitam.,Leibnitzia nepalensis,Gerbera curvisquama Hand.-Mazz.,Gerbera curvisquama,Leibnitzia,Gerbera
5673,Cacalia firma Kom.,Taimingasa firma (Kom.) C.Ren & Q.E.Yang,Taimingasa firma (Kom.) C.Ren & Q.E.Yang,Taimingasa firma (Kom.) C.Ren & Q.E.Yang,Taimingasa firma,Parasenecio firmus (Kom.) Y.L.Chen,Parasenecio firmus,Taimingasa,Parasenecio
5698,Saussurea decurrens Hemsl.,Himalaiella chenopodiifolia (Klatt) Raab-Straube,Himalaiella chenopodiifolia (Klatt) Raab-Straube,Himalaiella chenopodiifolia (Klatt) Raab-Straube,Himalaiella chenopodiifolia,Saussurea parviflora (Poir.) DC.,Saussurea parviflora,Himalaiella,Saussurea
5731,Moonia moluccana (Blume) J.Kost.,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana,Moonia moluccana (Blume) J.Kost.,Moonia moluccana,Quadribractea,Moonia
5854,Aster pluriflorus G.Don,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata,Aster pluriflorus G.Don,Aster pluriflorus,Chrysocoma,Aster
5905,Vernonia ornata Talbot,Acilepis ornata (Talbot) H.Rob. & Skvarla,Acilepis ornata (Talbot) H.Rob. & Skvarla,Acilepis ornata (Talbot) H.Rob. & Skvarla,Acilepis ornata,Vernonia ornata Talbot,Vernonia ornata,Acilepis,Vernonia
5923,Lactuca bracteata Hook.f. & Thomson ex C.B.Clarke,Melanoseris bracteata (Hook.f. & Thomson ex C.B.Clarke) N.Kilian,Melanoseris bracteata (Hook.f. & Thomson ex C.B.Clarke) N.Kilian,Melanoseris bracteata (Hook.f. & Thomson ex C.B.Clarke) N.Kilian,Melanoseris bracteata,Lactuca bracteata Hook.f. & Thomson ex C.B.Clarke,Lactuca bracteata,Melanoseris,Lactuca
5931,Verbesina moluccana Blume,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana (Blume) Orchard,Quadribractea moluccana,Moonia moluccana (Blume) J.Kost.,Moonia moluccana,Quadribractea,Moonia
5964,Calydermos spilanthoides Griseb.,Wedelia serrata Rich.,Wedelia serrata Rich.,Wedelia serrata Rich.,Wedelia serrata,Tilesia spilanthoides Griseb.,Tilesia spilanthoides,Wedelia,Tilesia
6012,Carduncellus monspeliensium All.,Carthamus carduncellus L.,Carthamus carduncellus L.,Carthamus carduncellus L.,Carthamus carduncellus,Carduncellus monspeliensium All.,Carduncellus monspeliensium,Carthamus,Carduncellus
6024,Senecio copeyensis Greenm.,Telanthophora grandifolia (Less.) H.Rob. & Brettell,Telanthophora grandifolia (Less.) H.Rob. & Brettell,Telanthophora grandifolia (Less.) H.Rob. & Brettell,Telanthophora grandifolia,Senecio copeyensis Greenm.,Senecio copeyensis,Telanthophora,Senecio
6031,Chuquiraga johnstonii Tovar,Barnadesia dombeyana Less.,Barnadesia dombeyana Less.,Barnadesia dombeyana Less.,Barnadesia dombeyana,Chuquiraga spinosa Less.,Chuquiraga spinosa,Barnadesia,Chuquiraga
6046,Macledium burmanni Cass.,Dicoma spinosa Druce,Dicoma spinosa Druce,Dicoma spinosa Druce,Dicoma spinosa,Macledium spinosum (L.) S.Ortiz,Macledium spinosum,Dicoma,Macledium
6085,Senecio reticulatus DC.,Roldana reticulata (DC.) H.Rob. & Brettell,Roldana reticulata (DC.) H.Rob. & Brettell,Roldana reticulata (DC.) H.Rob. & Brettell,Roldana reticulata,Senecio reticulatus DC.,Senecio reticulatus,Roldana,Senecio
